GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
HIV_0000000026,Number of new HIV infections,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections,2018,2018,2018,AFR,Africa,GHA,Ghana,,,,19000.0,19 000 [15 000 - 26 000],15000.0,26000.0
HIV_0000000006,Number of people dying from HIV-related causes,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-due-to-hiv-aids,2011,2011,2011,AFR,Africa,GHA,Ghana,,,,18000.0,18 000 [15 000 - 22 000],15000.0,22000.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,2006,2006,2006,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,1.4,1.4 [1.2 - 1.7],1.2,1.7
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,2009,2009,2009,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,0.8,0.8 [0.66 - 1],0.66,1.0
HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-children-receiving-antiretroviral-therapy,2004,2004,2004,AFR,Africa,GHA,Ghana,,,,27.0,27,,
HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-children-receiving-antiretroviral-therapy,2010,2010,2010,AFR,Africa,GHA,Ghana,,,,2387.0,2387,,
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,1991,1991,1991,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,2.7,2.7 [1.9 - 3.3],1.9,3.3
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-children-needing-antiretroviral-therapy-based-on-who-methods,1996,1996,1996,AFR,Africa,GHA,Ghana,,,,26000.0,26 000 [20 000 - 33 000],20000.0,33000.0
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-pregnant-women-living-with-hiv-needing-antiretrovirals-for-preventing-mother-to-child-transmission,2013,2013,2013,AFR,Africa,GHA,Ghana,,,,15000.0,15 000 [13 000 - 18 000],13000.0,18000.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,2011,2011,2011,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,1.1,1.1 [0.87 - 1.3],0.87,1.3
