DISTRICT,REGION,tvi_pca,tvi_equal,tvi_pca_lisa_label,tvi_pca_gi_star,tvi_pca_gi_p,tvi_equal_lisa_label,tvi_equal_gi_star,tvi_equal_gi_p
JASIKAN,OTI,-0.7192204262457323,-0.2366260562413025,Not significant,0.3603954217969031,0.298,Not significant,0.39184623919686157,0.266
TWIFO ATTI-MORKWA,CENTRAL,0.0977868869704104,0.1596463399854717,Not significant,0.17261738972494506,0.292,Not significant,-0.005174149116570587,0.489
KRACHI EAST MUNICIPAL,OTI,0.5365268831717666,0.2756782572605907,Not significant,-0.21203976207728467,0.344,Not significant,-0.2623521373745122,0.253
NKWANTA SOUTH MUNICIPAL,OTI,0.763259287081473,0.4285847694318145,Not significant,-0.44123601314166966,0.197,Not significant,-0.6241053190608262,0.067
AWUTU SENYA EAST,CENTRAL,-1.9575257147073823,-0.5788908067376577,Not significant,0.8071520673461928,0.045,Not significant,0.5635798354593413,0.153
AFIGYA KWABRE SOUTH,ASHANTI,-1.2801386729111257,-0.5108063844514473,Low-Low,0.6265732071338371,0.044,Low-Low,0.6560733291940051,0.026
LA-NKWANTANANG-MADINA,GREATER ACCRA,-2.402263430900777,-0.8134376131992789,Low-Low,1.4209412646456472,0.001,Low-Low,1.245885733524075,0.001
ATWIMA KWANWOMA,ASHANTI,-1.2401451249600492,-0.4816119121199247,Low-Low,0.6906221329203248,0.034,Low-Low,0.7024555537694896,0.021
SEKYERE SOUTH,ASHANTI,-0.6389937212792457,-0.2648447664764703,Not significant,0.3583622612137168,0.149,Not significant,0.3649718194452659,0.147
GA EAST,GREATER ACCRA,-2.7472268211544613,-0.9313253767093806,Low-Low,1.419035539374675,0.001,Low-Low,1.254931325405694,0.001
AYAWASO WEST,GREATER ACCRA,-3.003242636793071,-1.0172219864608203,Low-Low,1.294187015910746,0.001,Low-Low,1.1219114423533274,0.001
SEKYERE EAST,ASHANTI,-1.0250333399730012,-0.4471616900444227,Not significant,0.41821036780249504,0.203,Not significant,0.4354161425635565,0.195
GA SOUTH MUNICIPAL,GREATER ACCRA,-1.2768274403972568,-0.2242772951617186,Low-Low,1.0925137534837788,0.001,Low-Low,0.8329899450964375,0.013
GA WEST MUNICIPAL,GREATER ACCRA,-1.770576399360681,-0.5372892563759164,Low-Low,1.2143711764273317,0.001,Low-Low,0.9971329395248756,0.002
SEKYERE CENTRAL,ASHANTI,0.5441274124573976,0.3944558104996986,Not significant,-0.05868863836675555,0.484,Not significant,-0.14511574222594334,0.412
GA CENTRAL MUNICIPAL,GREATER ACCRA,-2.6496077483896707,-0.8269953558894582,Low-Low,1.1851085396461458,0.003,Low-Low,0.9423076929793921,0.021
OFFINSO NORTH,ASHANTI,0.0591589638313139,-0.0152952924392163,Not significant,0.31248351972092286,0.153,Not significant,0.4326419811383618,0.061
KRACHI WEST,OTI,0.2052607666264135,-0.0486616624641761,Not significant,-0.3826555062382085,0.227,Not significant,-0.4352598096908213,0.143
OFFINSO MUNICIPAL,ASHANTI,-0.371304770258816,-0.1358619847682541,Not significant,0.19446874333886072,0.332,Not significant,0.22193035515088355,0.294
OBUASI MUNICIPAL,ASHANTI,-1.924718671309192,-0.8087689810287895,Not significant,0.4723467040527345,0.261,Not significant,0.4844178288217368,0.294
